key,zh_CN,en_US,zh_TW
i18n_0599,- 在场景中创建按钮,-Create buttons in the scene,-在場景中創建按鈕
i18n_0626,- 点击按钮进行测试,-Click the button to test,-點擊按鈕進行測試
i18n_0645,- 绑定按钮点击事件到对应方法,-Bind button click event to corresponding method,-綁定按鈕點擊事件到對應方法
i18n_0605,1. testSelectAnyFile() - 选择任意文件,1. testSelectAnyFile() - Select any file,1. testSelectAnyFile（）-選擇任意檔案
i18n_0001,1个按钮,1 button,1個按鈕
i18n_0002,1小时,1 hour,1小時
i18n_0636,2. testSelectImage() - 选择图片,2. testSelectImage() - Select Image,2. testSelectImage（）-選擇圖片
i18n_0578,3. testSelectImageBase64() - 选择图片转Base64,3. testSelectImageBase64() - Select image to Base64,3. testSelectImageBase64（）-選擇圖片轉Base64
i18n_0632,4. testSelectTextFile() - 选择文本文件,4. testSelectTextFile() - Select a text file,4. testSelectTextFile（）-選擇文字檔
i18n_0003,404错误,404 Error,404錯誤
i18n_0604,5. testSelectPNG() - 仅选择PNG图片,5. testSelectPNg() - Select only PNG images,5. testSelectPNG（）-僅選擇PNG圖片
i18n_0598,6. testPlatformDetection() - 平台检测,6. testPlatformDetection() - Platform Detection,6. testPlatformDetection（）-平臺檢測
i18n_0588,7. clearLog() - 清除日志,7. clearLog() - Clear Log,7. clearLog（）-清除日誌
i18n_0583,======== 文件选择功能测试帮助 ========,========File selection function testing help========,========檔案選擇功能測試幫助========
i18n_0580,======== 测试：仅选择PNG图片 ========,========Test: Select only PNG images========,========測試：僅選擇PNG圖片========
i18n_0616,======== 测试：平台检测 ========,========Testing: Platform detection========,========測試：平臺檢測========
i18n_0643,======== 测试：选择任意文件 ========,========Test: Select any file========,========測試：選擇任意檔案========
i18n_0602,======== 测试：选择图片并转Base64 ========,========Test: Select image and convert to Base64========,========測試：選擇圖片並轉Base64 ========
i18n_0582,FilePickerTest 组件已加载,FilePickerTest component loaded,FilePickerTest組件已加載
i18n_0587,JSB可用: false,JSB available: false,JSB可用：false
i18n_0623,JSB可用: true,JSB available: true,JSB可用：true
i18n_0004,PayPal账号不能为空,PayPal account cannot be empty,PayPal帳號不能為空
i18n_0005,XXXX传奇大奖赛,XXXX Legendary Grand Prix,XXXX傳奇大獎賽
i18n_0611,[FilePickerTest] 日志已清除,[FilePickerTest] log cleared,[FilePickerTest]日誌已清除
i18n_0651,#奖励已发放到您的账户,#The reward has been distributed to your account,#獎勵已發放到您的帳戶
i18n_0653,]中因未准备已出局，感谢您的参与,]has been eliminated due to lack of preparation. Thank you for your participation,]中因未準備已出局，感謝您的參與
i18n_0659,]中因进入失败已出局，感谢您的参与,]Due to entry failure has been eliminated. Thank you for your participation,]中因進入失敗已出局，感謝您的參與
i18n_0652,]中已出局，感谢您的参与,]has been eliminated. Thank you for your participation,]中已出局，感謝您的參與
i18n_0654,]中获得了第,]Obtained the No.,]中獲得了第
i18n_0655,]即将开始，请准备,]It's about to begin| please prepare,]即將開始，請準備
i18n_0657,]已开始，请准备,]Started| please prepare,]已開始，請準備
i18n_0010,coin不存在,Coin does not exist,coin不存在
i18n_0011,from没有私钥,From does not have a private key,from沒有私密金鑰
i18n_0012,itemID重复,Duplicate itemID,itemID重複
i18n_0013,write失败,Write failed,write失敗
i18n_0014,{$userCount}人,{$userCount} person,{$userCount}人
i18n_0581,|error)#        } finally {#            this.sendingCode_ = false#        }#    }#    protected update(dt: number): void {#        if(this.codeTime_ > 0) {#            this.codeTime_ -= dt #            if(this.codeTime_ <= 0) {#                this.codeTime_ = 0#                this.btnSendCode.interactable = true #            }#        }#        this.lblCodeStatus.string = this.codeTime_ > 0 ? `重新发送(${Math.ceil(this.codeTime_)}s)` :,| error),| error)
i18n_0617,⚠ 未设置预览Sprite，跳过图片显示,⚠  Preview Sprite not set| skipping image display,⚠  未設定預覽Sprite，跳過圖片顯示
i18n_0015,⚠️ 上传被中止,⚠️  Upload aborted,⚠️  上傳被中止
i18n_0016,✅ 上传成功:,✅  Upload successful:,✅  上傳成功：
i18n_0620,✓ PNG图片选择成功,✓ PNG image selection successful,✓PNG圖片選擇成功
i18n_0634,✓ 图片预览显示成功,✓ Image preview display successful,✓圖片預覽顯示成功
i18n_0642,✗ 加载图片失败,✗ Image loading failed,✗加載圖片失敗
i18n_0629,✗ 加载图片失败:,✗ Image loading failed:,✗加載圖片失敗：
i18n_0017,❌ 上传失败，状态码:,❌  Upload failed| status code:,❌  上傳失敗，狀態碼：
i18n_0591,❌ 上传异常:,❌  Upload exception:,❌  上傳异常：
i18n_0610,❌ 网络错误,❌  Network error,❌  網絡錯誤
i18n_0018,❌ 网络错误或跨域问题,❌  Network errors or cross domain issues,❌  網絡錯誤或跨域問題
i18n_0019,一对,Pair,一對
i18n_0020,三个按钮,Three buttons,三個按鈕
i18n_0021,三条,Triple,三條
i18n_0638,上一步,Previous step,上一步
i18n_0022,上传凭证,Upload credentials,上傳憑證
i18n_0023,上传失败,Upload failed,上傳失敗
i18n_0024,上传成功,Upload successful,上傳成功
i18n_0025,上传数据不存在,The uploaded data does not exist,上傳數據不存在
i18n_0026,上传数据不正确,The uploaded data is incorrect,上傳數據不正確
i18n_0027,上传证件,Upload ID,上傳證件
i18n_0619,下一步,Next step,下一步
i18n_0029,下注,Bet,下注
i18n_0030,不支持后台手动操作,Cannot support manual operation in the background,不支持後臺手動操作
i18n_0031,不支持的登录,Unsupported login,不支持的登入
i18n_0032,不是成员,Not a member,不是成員
i18n_0033,不能重复上传,Cannot upload repeatedly,不能重複上傳
i18n_0034,不限,unlimited,不限
i18n_0035,不限制,no restrictions,不限制
i18n_0036,不限额,unlimited,不限額
i18n_0037,世界杯足球,World Cup,世界盃足球
i18n_0038,两对,Two pairs,兩對
i18n_0039,个人信息,Personal Information,個人資訊
i18n_0040,中,Medium,中
i18n_0041,中级场,Medium,中級場
i18n_0042,举报,Report,舉報
i18n_0043,买入,Buyin,買入
i18n_0044,买入失败,Purchase failed,買入失敗
i18n_0045,二维码内容,QR code content,二維碼內容
i18n_0046,五个按钮,Five buttons,五個按鈕
i18n_0047,交互表情,Interactive emoticons,互動表情
i18n_0595,交易密码,Transaction password,交易密碼
i18n_0646,交易密码不能为空,The transaction password cannot be empty,交易密碼不能為空
i18n_0618,交易密码错误,Transaction password error,交易密碼錯誤
i18n_0589,交易密码长度不能小于6位,The length of the transaction password cannot be less than 6 digits,交易密碼長度不能小於6比特
i18n_0048,人,Player,人
i18n_0049,人数,Online,人數
i18n_0050,人数:,Online:,人數：
i18n_0051,从相册上传,Upload from album,從相册上傳
i18n_0052,任务不存在,Task does not exist,任務不存在
i18n_0053,作者:,Author:,作者：
i18n_0054,你当前的状态可以随时退出当前房间，是否立即退出？,You can exit the current room at any time based on your current status. Do you want to exit now?,你當前的狀態可以隨時退出當前房間，是否立即退出？
i18n_0055,你正在进行游戏中，需要申请退出后，在当前对局结束后才能离开房间，是否立即申请？,You are playing a game and need to apply to exit before you can leave the room after the current match ends. Do you want to apply now?,你正在進行遊戲中，需要申請退出後，在當前對局結束後才能離開房間，是否立即申請？
i18n_0627,使用方法：,Usage:,使用方法：
i18n_0056,修改个人信息,Personal Information,修改個人資訊
i18n_0612,修改交易密码,Change Transaction Password,修改交易密碼
i18n_0057,修改密码,Change Password,修改密碼
i18n_0058,修改成功,Modified Successfully,修改成功
i18n_0059,俱乐部,Club,俱樂部
i18n_0060,俱乐部未找到,Club not found,俱樂部未找到
i18n_0061,充值,Recharge,充值
i18n_0062,充值上传记录不存在,Recharge upload record does not exist,充值上傳記錄不存在
i18n_0063,充值凭证不存在,Recharge voucher does not exist,充值憑證不存在
i18n_0064,充值地址,Recharge Address,充值地址
i18n_0625,充值奖励,Recharge Rewards,充值獎勵
i18n_0065,充值库存不存在,Recharge inventory does not exist,充值庫存不存在
i18n_0066,充值方式不存在,Recharge method does not exist,充值管道不存在
i18n_0067,充值订单不存在,Recharge order does not exist,充值訂單不存在
i18n_0068,充值订单状态不正确,The status of the recharge order is incorrect,充值訂單狀態不正確
i18n_0597,充值退款,Recharge and refund,充值退款
i18n_0069,充值配置不存在,Recharge configuration does not exist,充值配寘不存在
i18n_0070,充值金额不能大于,The recharge amount cannot exceed,充值金額不能大於
i18n_0071,充值金额不能小于,The recharge amount cannot be less than,充值金額不能小於
i18n_0072,充值金额过低,The recharge amount is too low,充值金額過低
i18n_0073,充值金额过高,Recharge amount too high,充值金額過高
i18n_0074,兑换比例:,Exchange rate:,兌換比例：
i18n_0075,入,enter,入
i18n_0076,入池率,Pot Entry Rate,入池率
i18n_0077,全部,All,全部
i18n_0078,公告,Notice,公告
i18n_0079,关闭,Close,關閉
i18n_0080,其他,Other,其他
i18n_0081,内容,Content,內容
i18n_0082,内容过长，限制500字以内,The content is too long| limited to 500 words or less,內容過長，限制500字以內
i18n_0083,冤家牌，不好意思,Enemy card| sorry,冤家牌，不好意思
i18n_0084,冻结失败,Freeze failed,凍結失敗
i18n_0085,分,Divide,分
i18n_0086,分数,Fraction,分數
i18n_0087,切换线路,Switch Lines,切換線路
i18n_0088,创建Paypal订单失败,Failed to create PayPal order,創建Paypal訂單失敗
i18n_0089,创建失败,Creation failed,創建失敗
i18n_0090,创建房间,Create Room,創建房間
i18n_0091,创建房间失败,Failed to create room,創建房間失敗
i18n_0092,初级场,Beginner,初級場
i18n_0093,删除,Del,删除
i18n_0094,删除失败,Deletion failed,删除失敗
i18n_0095,到账数量,Quantity received,到賬數量
i18n_0096,剩余数量:,Remaining Quantity:,剩餘數量：
i18n_0097,加入,Join,加入
i18n_0098,加入房间,Join Room,加入房間
i18n_0099,加入错误,Adding error,加入錯誤
i18n_0100,加入错误[2],Add error [2],加入錯誤[2]
i18n_0101,加入错误[3],Add error [3],加入錯誤[3]
i18n_0102,加注,Raise,加注
i18n_0103,加载中,Loading,加載中
i18n_0104,加载中... 0%,Loading in progress 0,加載中. .. 0%
i18n_0105,加载完成,Loading completed,加載完成
i18n_0106,匹配,Group,匹配
i18n_0107,匹配中。。。,Matching in progress...,匹配中。。。
i18n_0108,区块链,Blockchain,區塊鏈
i18n_0109,区块链地址不能为空,The blockchain address cannot be empty,區塊鏈地址不能為空
i18n_0110,单笔限额,Per-transaction limit,單筆限額
i18n_0111,卡号：,Card Number:,卡號：
i18n_0112,即将开始,Near Start,即將開始
i18n_0113,即将开赛,Near Start,即將開賽
i18n_0114,即将打开Paypal支付页面,We are about to open the PayPal payment page,即將打開Paypal支付頁面
i18n_0115,即将提交提现申请,Submitting withdrawal application soon,即將提交提現申請
i18n_0116,参数不正确,Incorrect parameter,參數不正確
i18n_0117,参数错误,Parameter error,參數錯誤
i18n_0118,双大盲,Double Blind,雙大盲
i18n_0119,发起提现,Withdrawal,發起提現
i18n_0120,发送验证码,Send,發送驗證碼
i18n_0121,取消,Cancel,取消
i18n_0122,只显示桌面玩家,Only display desktop players,只顯示案頭玩家
i18n_0123,只有房主可以解散房间,Only the homeowner can dissolve the room,只有房主可以解散房間
i18n_0124,只能删除未开始的比赛,Only games that have not started can be deleted,只能删除未開始的比賽
i18n_0622,可用的测试方法：,Available testing methods:,可用的測試方法：
i18n_0125,号,Number,號
i18n_0126,同时播放items,Simultaneously play items,同時播放items
i18n_0127,同花,Flush,同花
i18n_0128,同花顺,Straight-Flush,同花順
i18n_0129,名次,Ranking,名次
i18n_0658,名，感谢您的参与,| thank you for your participation,名，感謝您的參與
i18n_0130,启动失败,Startup failure,啟動失敗
i18n_0131,响应不是 JSON,The response is not JSON,響應不是JSON
i18n_0132,四个按钮,Four buttons,四個按鈕
i18n_0133,四条,Four-of-a-kind,四條
i18n_0134,圈,Round,圈
i18n_0135,增加数量必须大于0,The increase in quantity must be greater than 0,新增數量必須大於0
i18n_0136,处理失败,Processing failed,處理失敗
i18n_0137,复制,copy,複製
i18n_0138,复盘已结束,Review has ended,複盤已結束
i18n_0139,大厅,Hall,大廳
i18n_0140,大厅任务,Hall tasks,大廳任務
i18n_0141,大厅抽奖,Hall lottery,大廳抽獎
i18n_0142,大厅签到,Hall check-in,大廳簽到
i18n_0631,大小,Size,大小
i18n_0143,头像,Avatar,頭像
i18n_0144,奖励,Reward,獎勵
i18n_0145,奖池配置不存在,The prize pot configuration does not exist,獎池配寘不存在
i18n_0146,奥马哈,Omaha,奧馬哈
i18n_0147,好友房,Friend,好友房
i18n_0148,定义在DefaultAudio里的名字,Name defined in Default Audio,定義在DefaultAudio裏的名字
i18n_0149,实时战况,Realtime,實时戰況
i18n_0150,审核数据不存在,Audit data does not exist,稽核數據不存在
i18n_0151,客服,Customer,客服
i18n_0152,客服功能未开放,Customer service function is not open,客服功能未開放
i18n_0153,客服已接入,Customer service has been connected,客服已接入
i18n_0154,密码,Password,密碼
i18n_0155,密码不能为空,Password cannot be empty,密碼不能為空
i18n_0156,密码修改,Change Password,密碼修改
i18n_0157,密码强度,Strength,密碼强度
i18n_0158,密码长度不正确,The password length is incorrect,密碼長度不正確
i18n_0159,密码长度不能小于6位,Password length cannot be less than 6 digits,密碼長度不能小於6比特
i18n_0592,密码验证,Password Verification,密碼驗證
i18n_0160,对局ID:,Match ID:,對局ID:
i18n_0161,对局明细,Match details,對局明細
i18n_0162,对局查询,Match inquiry,對局査詢
i18n_0163,对局记录,Game Record,對局記錄
i18n_0164,对局详情,Match details,對局詳情
i18n_0165,小时,hour,小時
i18n_0166,小盲,SB,小盲
i18n_0167,小盲/大盲,SB/BB,小盲/大盲
i18n_0168,局,Games:,局
i18n_0169,局数,Games:,局數
i18n_0170,已为您转接至其他客服,We have transferred you to another customer service representative,已為您轉接至其他客服
i18n_0171,已复制到剪贴板,Copy to clipboard,已複製到剪貼板
i18n_0172,已报名,Signed,已報名
i18n_0173,已有账号？,Already have an account?,已有帳號？
i18n_0174,已经在房间中,Already in the room,已經在房間中
i18n_0175,已结束,Ended,已結束
i18n_0176,已结束，无法修改状态,Completed| unable to modify status,已結束，無法修改狀態
i18n_0177,已领取,Claimed,已領取
i18n_0178,币种没有公链配置,Currency without public chain configuration,幣種沒有公鏈配寘
i18n_0179,带入,Buyin,帶入
i18n_0180,带入:,Buyin:,帶入：
i18n_0630,平台,platform,平臺
i18n_0181,库存不存在,Inventory does not exist,庫存不存在
i18n_0182,底分,base score,底分
i18n_0183,底池,Pot,底池
i18n_0184,底池:,Pot:,底池：
i18n_0185,底池:100,Pot: 100,底池：100
i18n_0186,底注,Ante,底注
i18n_0187,开启定位,Turn on location,開啟定位
i18n_0188,开始,Start,開始
i18n_0189,弃,Fold,弃
i18n_0190,弃/过,Fold#Check,弃/過
i18n_0191,弃牌,Fold,弃牌
i18n_0192,弱,Weak,弱
i18n_0193,弹幕,Bullet Chat,彈幕
i18n_0194,强,Strong,強
i18n_0195,当前,Current,當前
i18n_0633,当前平台,Current Platform,當前平臺
i18n_0614,当前排名,Current Ranking,當前排名
i18n_0196,当前时间无法报名,Cannot signup at the current time,當前時間無法報名
i18n_0197,德州扑克,Texas,德州撲克
i18n_0198,必须传入比赛ID,Competition ID must be entered,必須傳入比賽ID
i18n_0199,快捷加注,Quick Bet,快捷加注
i18n_0200,快捷语,Quick Phrase,快捷語
i18n_0201,快速,Fast,快速
i18n_0202,快速开始,Quick Start,快速開始
i18n_0203,快速换桌,Quick Change,快速換桌
i18n_0204,总买入,Total Buying,總買入
i18n_0205,恭喜获得{%0}钻石和{%1}金币,Congratulations on obtaining {%0} diamonds and {%1} coins,恭喜獲得{%0}鑽石和{%1}金幣
i18n_0656,您在比赛[,You are in the competition[,您在比賽[
i18n_0207,您已经在比赛中，无法重新报名,You are already in the competition and cannot signup again,您已經在比賽中，無法重新報名
i18n_0208,您已经达到最大进入次数，无法重新报名,You have reached the maximum number of entries and cannot signup again,您已經達到最大進入次數，無法重新報名
i18n_0209,您当前是旁观状态，可以随时退出当前房间，是否立即退出？,You are currently in a spectator mode and can exit the current room at any time. Do you want to exit now?,您當前是旁觀狀態，可以隨時退出當前房間，是否立即退出？
i18n_0660,您报名的比赛[,The competition you have signed up for[,您報名的比賽[
i18n_0211,您有过多待处理充值订单，请稍后再试,You have too many pending recharge orders| please try again later,您有過多待處理充值訂單，請稍後再試
i18n_0212,您的注册申请正在审核中，请勿重复提交,Your registration application is currently under review| please do not resubmit,您的註冊申請正在稽核中，請勿重複提交
i18n_0213,我的,Mine,我的
i18n_0214,我的赛事,My Events,我的賽事
i18n_0215,房,Room,房
i18n_0216,房主已发起解散#本局游戏结束后退出房间,The homeowner has initiated dissolution. After the end of this game exit the room,房主已發起解散#本局遊戲結束後退出房間
i18n_0217,房主已解散房间,The homeowner has dissolved the room,房主已解散房間
i18n_0218,房卡,Card,房卡
i18n_0219,房间,Room,房間
i18n_0220,房间ID:,Room ID:,房間ID:
i18n_0221,房间不存在,The room does not exist,房間不存在
i18n_0222,房间信息,Room information,房間資訊
i18n_0223,房间创建成功，正在进入房间...,Room created successfully| entering the room ..,房間創建成功，正在進入房間. ..
i18n_0224,房间号,Code:,房間號
i18n_0225,房间号已复制到剪贴板,The room number has been copied to the clipboard,房間號已複製到剪貼板
i18n_0226,房间已结束,The room has ended,房間已結束
i18n_0227,房间详情,Room details,房間詳情
i18n_0601,手机号,Mobile phone number,手機號
i18n_0228,手续费：,Service Charge:,手續費：
i18n_0229,扣除道具失败，无法提现,Deducting props failed| unable to withdraw,扣除道具失敗，無法提現
i18n_0584,扩展名,File extension,副檔名
i18n_0579,找不到充值配置,Unable to find recharge configuration,找不到充值配寘
i18n_0230,找回密码,Forgot Password,找回密碼
i18n_0231,抓,Straggle,抓
i18n_0232,抓位,Straggle,抓比特
i18n_0233,报名,SignUp,報名
i18n_0234,报名成功,SignUp Successful,報名成功
i18n_0235,报名道具不足,Insufficient SignUp Props,報名道具不足
i18n_0236,抽水收入,Pumping income,抽水收入
i18n_0237,拍照,take a photo,拍照
i18n_0238,拖动到此区域取消加注,Drag to this area to cancel,拖動到此區域取消加注
i18n_0239,持续时长,Duration,持續時長
i18n_0240,按钮数量,Number of buttons,按鈕數量
i18n_0241,按钮根节点,Button root node,按鈕根節點
i18n_0242,排名,Ranking,排名
i18n_0243,接收,Receive,接收
i18n_0247,描述,Description,描述
i18n_0248,提交信息,Commit Message,提交資訊
i18n_0249,提交成功，等待审核,Submitted successfully| waiting for review,提交成功，等待稽核
i18n_0250,提现,Withdraw,提現
i18n_0251,提现失败,Withdrawal failed,提現失敗
i18n_0252,提现数量错误,Withdrawal quantity error,提現數量錯誤
i18n_0253,提现方式不存在,Withdrawal method does not exist,提現管道不存在
i18n_0254,提现申请提交成功，等待审核,Withdrawal application submitted successfully| waiting for review,提現申請提交成功，等待稽核
i18n_0255,提现订单不存在,Withdrawal order does not exist,提現訂單不存在
i18n_0256,提现订单创建失败,Withdrawal order creation failed,提現訂單創建失敗
i18n_0257,提现订单状态不正确,The status of the withdrawal order is incorrect,提現訂單狀態不正確
i18n_0258,提现配置不存在,Withdrawal configuration does not exist,提現配寘不存在
i18n_0259,提现金额不能大于,The withdrawal amount cannot exceed,提現金額不能大於
i18n_0260,提现金额不能小于,The withdrawal amount cannot be less than,提現金額不能小於
i18n_0261,提现金额过低,The withdrawal amount is too low,提現金額過低
i18n_0262,提现金额过低，无法支付手续费,The withdrawal amount is too low to pay the handling fee,提現金額過低，無法支付手續費
i18n_0263,提现金额过高,The withdrawal amount is too high,提現金額過高
i18n_0264,提示,Prompt,提示
i18n_0265,播放,Play,播放
