key,zh_CN,en_US,zh_TW
i18n_0266,操作失败,Operation Failed,操作失敗
i18n_0267,操作时间,Operating Time,操作時間
i18n_0268,操作超时,Operation Timeout,操作超時
i18n_0269,支行名：,Branch Name:,支行名：
i18n_0270,收藏,Collection,收藏
i18n_0640,改名,Rename,改名
i18n_0271,改名道具不足,Insufficient Renaming Props,改名道具不足
i18n_0272,数据不存在,Data Does Not Exist,數據不存在
i18n_0273,数据初始化失败,Data Initialization Failed,數據初始化失敗
i18n_0274,数量,Quantity,數量
i18n_0637,文件名,Filename,檔名
i18n_0275,文件错误,File Error,檔案錯誤
i18n_0276,斜杠/结尾,Slash/End,斜杠/結尾
i18n_0277,新版本来袭！#点击确定下载新版本,A New Version is Coming! #Click OK to Download the New Version,新版本來襲！ #點擊確定下載新版本
i18n_0278,新闻公告,News Announcement,新聞公告
i18n_0279,旁观,Onlook,旁觀
i18n_0280,旁观(2/3),Spectator (2/3),旁觀（2/3）
i18n_0281,无效的上传数据,Invalid Upload Data,無效的上傳數據
i18n_0282,无效的文件大小,Invalid File Size,無效的文件大小
i18n_0283,无效的请求,Invalid Request,無效的請求
i18n_0284,无效的请求2,Invalid Request 2,無效的請求2
i18n_0285,无法修改,Cannot Be Modified,無法修改
i18n_0286,无法修改到指定状态,Cannot Be Modified to the Specified State,無法修改到指定狀態
i18n_0287,无法修改到相同状态,Cannot Be Modified to the Same State,無法修改到相同狀態
i18n_0288,无法修改超管的权限,Cannot Modify the Permissions of the Super Manager,無法修改超管的許可權
i18n_0289,无法创建房间,Unable to Create Room,無法創建房間
i18n_0290,无法报名,Unable to SignUp,無法報名
i18n_0291,无法操作,Unable to Operate,無法操作
i18n_0292,无法操作超管权限,Unable to Operate Super Management Permissions,無法操作超管許可權
i18n_0628,日志已清除#,The Log Has Been Cleared,日誌已清除#
i18n_0293,时长,Duration,時長
i18n_0294,时间,Time,時間
i18n_0295,明细查询,Detail Inquiry,明細查詢
i18n_0296,是否确认提交,Are you sure to submit,是否確認提交
i18n_0297,昵称,Nickname,昵稱
i18n_0298,昵称位置啊,Nickname location,昵稱位置啊
i18n_0299,昵称和头像未修改,Nickname and avatar not modified,昵稱和頭像未修改
i18n_0300,昵称长度不能大于15位,Nickname length cannot exceed 15 characters,昵稱長度不能大於15比特
i18n_0301,昵称长度不能小于2位,Nickname length cannot be less than 2 digits,昵稱長度不能小於2比特
i18n_0302,昵称长度过短,Nickname length is too short,昵稱長度過短
i18n_0303,昵称长度过长,Nickname length too long,昵稱長度過長
i18n_0586,显示图片预览失败:,Display image preview failed:,顯示圖片預覽失敗：
i18n_0304,暂无数据,No Data Available,暫無數據
i18n_0305,暂未开放,Not Yet Open,暫未開放
i18n_0306,更多,More,更多
i18n_0307,更新失败，稍后点击重试,Update failed| click retry later,更新失敗，稍後點擊重試
i18n_0308,最低,Min,最低
i18n_0310,最大#,Max#,最大#
i18n_0309,最大#9999,Max,最大
i18n_0311,最大买入,Max-Buyin,最大買入
i18n_0313,最小#,Min#,最小#
i18n_0312,最小#9999,Min,最小
i18n_0314,最小买入,Min-Buyin,最小買入
i18n_0315,服务器连接失败,Server Connection Failed,服務器連接失敗
i18n_0316,未开放,Not Open,未開放
i18n_0317,未找到,Not Found,未找到
i18n_0318,未找到coin,Coin Not Found,未找到coin
i18n_0319,未找到比赛房间,Competition Room Not Found,未找到比賽房間
i18n_0608,未知,Unknown,未知
i18n_0320,未知Paypal账户,Unknown PayPal Account,未知Paypal帳戶
i18n_0321,未知物品,Unknown Item,未知物品
i18n_0322,未知道具,Unknown Props,未知道具
i18n_0323,未配置Paypal充值参数,PayPal Recharge Parameters Not Configured,未配寘Paypal充值參數
i18n_0324,权限不足,Insufficient Permissions,許可權不足
i18n_0325,标题,Title,標題
i18n_0326,桌费收入,Table Fee Income,桌費收入
i18n_0327,桌费消耗,Table Fee Consumption,桌費消耗
i18n_0328,桌面,Desktop,案頭
i18n_0329,桌面设置,Settings,案頭設定
i18n_0330,正在加载,Loading,正在加載
i18n_0609,正在加载图片预览（Blob）...,Loading image preview (Blob),正在加載圖片預覽（Blob）…
i18n_0606,正在加载图片预览（Native）...,Loading image preview (Native),正在加載圖片預覽（Native）…
i18n_0590,正在加载图片预览（Web）...,Loading image preview (web),正在加載圖片預覽（Web）…
i18n_0331,正在加载资源,Loading Resources,正在加載資源
i18n_0332,正在匹配,Matching in Progress,正在匹配
i18n_0596,正在合桌，请稍后...,Closing the Table| Please Wait ..,正在合桌，請稍後. ..
i18n_0333,正在更新...,Updating ..,正在更新. ..
i18n_0334,正在獲取,Obtaining,正在獲取
i18n_0335,正在请求,Requesting,正在請求
i18n_0336,正在连接,Connecting,正在連接
i18n_0337,比赛,Competition,比賽
i18n_0338,比赛不存在,The Competition Does Not Exist,比賽不存在
i18n_0339,比赛中,In the Competition,比賽中
i18n_0615,比赛买入,Match Buying,比賽買入
i18n_0603,比赛即将开始,The Competition Is About to Begin,比賽即將開始
i18n_0600,比赛已出局,The Game Has Been Eliminated,比賽已出局
i18n_0649,比赛已开始,The Match Has Begun.,比賽已開始
i18n_0340,比赛已经开始，无法报名,The Competition Has Already Started| Unable to SignUp,比賽已經開始，無法報名
i18n_0650,比赛已结束,The Competition Has Ended,比賽已結束
i18n_0341,比赛房间已开始，请重新进入比赛,The Competition Room Has Started| Please Re-Enter the Competition,比賽房間已開始，請重新進入比賽
i18n_0342,比赛报名,Competition SignUp,比賽報名
i18n_0343,比赛排名,Competition Ranking,比賽排名
i18n_0344,比赛模式无法退出,Competition Mode Cannot Be Exited,比賽模式無法退出
i18n_0345,比赛结束,The Game Is Over.,比賽結束
i18n_0346,比赛规则,Competition Rules,比賽規則
i18n_0347,比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则比赛规则,Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules Competition Rules,比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則比賽規則
i18n_0641,比赛通知,Competition Notice,比賽通知
i18n_0348,没有下级关系,No subordinate relationship,沒有下級關係
i18n_0349,没有主地址配置,No primary address configuration,沒有主地址配寘
i18n_0350,没有公链配置,No public chain configuration,沒有公鏈配寘
i18n_0351,没有币种配置,No currency configuration,沒有幣種配寘
i18n_0352,没有建立配置,No configuration established,沒有建立配寘
i18n_0353,没有成员,No members,沒有成員
i18n_0354,没有控件被销毁了,No controls were destroyed,沒有控制項被銷毀了
i18n_0355,没有权限,No permission,沒有許可權
i18n_0356,没有权限操作,No permission to operate,沒有許可權操作
i18n_0357,没有权限登录,No permission to log in,沒有許可權登入
i18n_0358,注册,Register,注册
i18n_0359,注册失败,Registration failed,注册失敗
i18n_0361,注册账号,Register,註冊帳號
i18n_0362,消息内容,message content,消息內容
i18n_0363,消息列表,Message List,消息清單
i18n_0364,消息标题,Message Title,消息標題
i18n_0365,消息详情,Message Details,消息詳情
i18n_0613,消息附件,Attachment,消息附件
i18n_0366,添加数量必须大于0,The added quantity must be greater than 0,添加數量必須大於0
i18n_0367,清空,Clear,清空
i18n_0368,游客,Guest,遊客
i18n_0369,游客ID登录,Guest ID Login,遊客ID登入
i18n_0370,游客登录,Guest Login,遊客登錄
i18n_0371,游戏,Game,遊戲
i18n_0372,游戏场数,Number of Games Played,遊戲場數
i18n_0373,游戏暂未开放，敬请期待,The Game Is Not Yet Open| Please Stay Tuned,遊戲暫未開放，敬請期待
i18n_0374,游戏设置,Game Settings,遊戲設定
i18n_0375,点击修改头像,Modify Avatar,點擊修改頭像
i18n_0647,点击复制,Click To Copy,點擊複製
i18n_0376,点击进入,Enter,點擊進入
i18n_0377,牌型,Hand Pattern,牌型
i18n_0378,牌局回顾,Hand Review,牌局回顧
i18n_0379,牌局按钮,Buttons,牌局按鈕
i18n_0380,牌局按钮设置,Buttons,牌局按鈕設定
i18n_0381,牌局设置,Bet Settings,牌局設定
i18n_0382,牌桌设置,Table Setting,牌桌設定
i18n_0383,牌背,Back,牌背
i18n_0384,牌背设置,Back Setting,牌背設定
i18n_0385,牌面,Face,牌面
i18n_0386,牌面设置,Face Setting,牌面設定
i18n_0387,状态不正确,Incorrect Status,狀態不正確
i18n_0388,玩家名字,Player Name,玩家名字
i18n_0389,玩家名称,Player Name,玩家名稱
i18n_0390,玩法,Playing Method,玩法
i18n_0391,用户不存在,User Does Not Exist,用戶不存在
i18n_0644,用户取消了选择,The User Has Cancelled the Selection,用戶取消了選擇
i18n_0392,用户已经存在,The User Already Exists,用戶已經存在
i18n_0393,用户昵称这个,User Nickname,用戶昵稱這個
i18n_0394,用户没有登录权限,The User Does Not Have Login Permission,用戶沒有登錄許可權
i18n_0395,登录,Log In,登入
i18n_0396,登录失败,Login Failed,登入失敗
i18n_0397,登录失败，无法使用客服功能,Login Failed| Unable to Use Customer Service Function,登入失敗，無法使用客服功能
i18n_0639,登录密码,Login Password,登入密碼
i18n_0398,皮肤设置,Skin Settings,皮膚設定
i18n_0399,盈亏,Profit and Loss,盈虧
i18n_0400,盲注:,Blind:,盲注：
i18n_0401,短牌,Short Deck,短牌
i18n_0402,确定,Confirm,確定
i18n_0403,确认,Confirm,確認
i18n_0404,确认修改,Confirm,確認修改
i18n_0405,确认提交,Submission,確認提交
i18n_0406,确认道具数量必须大于0,Confirm that the number of props must be greater than 0,確認道具數量必須大於0
i18n_0407,确认金额必须大于0,The confirmed amount must be greater than 0,確認金額必須大於0
i18n_0408,禁用聊天,Disable Chat,禁用聊天
i18n_0409,秒,Second,秒
i18n_0410,秒后重连,Reconnect in Seconds,秒後重連
i18n_0411,立即申请,Apply Now,立即申請
i18n_0412,立即退出,Exit,立即退出
i18n_0413,站起围观,StandUp,站起圍觀
i18n_0414,竞技赛,Competition,競技賽
i18n_0415,竞技赛:,Competition:,競技賽：
i18n_0416,第{$cur}/{$max}{$juType},{$cur}/{$max} {$juType},第{$cur}/{$max}{$juType}
i18n_0417,等待,Wait,等待
i18n_0418,签到失败,Sign-in Failed,簽到失敗
i18n_0624,简体中文,Simplified Chinese,簡體中文
i18n_0419,精彩对局,Exciting Match,精彩對局
i18n_0420,系统,System,系統
i18n_0421,系统设置,Settings,系統設置
i18n_0422,系统邮件,System Email,系統郵件
i18n_0423,索引,Index,索引
i18n_0594,繁體中文,Trad-Chinese,繁體中文
i18n_0425,网关服务获取失败,Gateway Service Acquisition Failed,閘道服務獲取失敗
i18n_0426,网关登录失败,Gateway Login Failed,閘道登入失敗
i18n_0427,聊天内容,Chat Content,聊天內容
i18n_0428,胜率,Win Rate,勝率
i18n_0429,自定义底池比例,Custom Pot Ratio,自定義底池比例
i18n_0430,自由加注,Raise,自由加注
i18n_0431,获取失败,Failed to obtain,獲取失敗
i18n_0635,获取比赛信息失败,Failed to obtain competition information,獲取比賽資訊失敗
i18n_0432,获取配置信息失败,Failed to obtain configuration information,獲取配寘資訊失敗
i18n_0433,获取验证码,Get Verification Code,獲取驗證碼
i18n_0434,葫芦,Full House,葫蘆
i18n_0435,补盲,CallBB,補盲
i18n_0436,表情,Emoji,表情
i18n_0437,规则,Rule,規則
i18n_0438,规则说明,Rules,規則說明
i18n_0439,解散失败,Dissolution Failed,解散失敗
i18n_0440,解散房间,Disband,解散房間
i18n_0441,解锁,Unlock,解鎖
i18n_0442,請求失敗,Request Failed,請求失敗
i18n_0443,计划ID已存在,Plan ID Already Exists,計畫ID已存在
i18n_0444,计划不存在,The Plan Does Not Exist,計畫不存在
i18n_0445,让牌,Check,讓牌
i18n_0446,记住密码,Remember Password,記住密碼
i18n_0447,设置,Settings,設定
i18n_0448,设置失败,Setup Failed,設定失敗
i18n_0449,该比赛已有机器人计划,There Are Already Robot Plans for This Competition,該比賽已有機器人計畫
i18n_0450,该申请已被处理,The Application Has Been Processed,該申請已被處理
i18n_0451,语言设置已更改，重启应用后生效,The Language Settings Have Been Changed and Will Take Effect After Restarting the Application,語言設定已更改，重啓應用後生效
i18n_0452,语言：,Language,語言：
i18n_0453,语音设置,Audio Settings,語音設定
i18n_0454,请,Please,請
i18n_0455,请上传证件照片,Please upload a photo of your identification document,請上傳證件照片
i18n_0456,请上传转账凭证图片,Please upload a picture of the transfer voucher,請上傳轉帳憑證圖片
i18n_0457,请勿重复点击,Please do not click again,請勿重複點擊
i18n_0458,请勿频繁发送验证码,Do Not Send Verification Codes Frequently,請勿頻繁發送驗證碼
i18n_0459,请求充值地址失败,Request for Recharge Address Failed,請求充值地址失敗
i18n_0460,请求失败,Request Failed,請求失敗
i18n_0461,请稍后,Please Wait,請稍後
i18n_0462,请稍后...,Please Wait a Moment ..,請稍後. ..
i18n_0463,请输入,Please Enter,請輸入
i18n_0464,请输入6位房间码,Please Enter the 6-Digit Room Code,請輸入6比特房間碼
i18n_0465,请输入Paypal邮箱地址,Please Enter Your PayPal Email Address,請輸入Paypal郵箱地址
i18n_0466,请输入买入额度,Buy in,請輸入買入額度
i18n_0607,请输入交易密码,Please Enter the Transaction Password,請輸入交易密碼
i18n_0467,请输入内容,Please Enter Content,請輸入內容
i18n_0468,请输入正确的提现金额,Please Enter the Correct Withdrawal Amount,請輸入正確的提現金額
i18n_0469,请输入正确的邮箱地址,Please Enter the Correct Email Address,請輸入正確的郵箱地址
i18n_0470,请输入聊天信息,Please Enter Chat Information,請輸入聊天資訊
i18n_0471,请输入账号,Please Enter Your Account,請輸入帳號
i18n_0472,请输入账户名,Please Enter the Account Name,請輸入帳戶名
i18n_0473,请选择区块链和币种,Please Select Blockchain and Currency,請選擇區塊鏈和幣種
i18n_0474,请选择正确的国家代码,Please Select the Correct Country Code,請選擇正確的國家代碼
i18n_0475,请选择银行信息,Please Select Bank Information,請選擇銀行資訊
i18n_0476,请选择银行和支行,Please Select Bank and Branch,請選擇銀行和支行
i18n_0477,账号,Account,帳號
i18n_0478,账号不能为空,Account Cannot Be Empty,帳號不能為空
i18n_0479,账号格式不正确|请使用邮箱,The Account Format Is Incorrect. Please Use Email,帳號格式不正確，請使用郵箱
i18n_0480,账号格式不正确|请使用邮箱注册,The Account Format Is Incorrect. Please Register Using Email,帳號格式不正確，請使用郵箱註冊
i18n_0481,账号长度不能小于6位,The Account Length Cannot Be Less Than 6 Characters,帳號長度不能小於6比特
i18n_0482,账号长度过短,The Account Length Is Too Short,帳號長度過短
i18n_0483,账号长度过长,The Account Length Is Too Long,帳號長度過長
i18n_0484,账户余额,Balance,帳戶餘額
i18n_0485,账户名：,Account:,帳戶名：
i18n_0486,账户长度不能小于6,The Account Length Cannot Be Less Than 6,帳戶長度不能小於6
i18n_0487,资源加载失败,Resource Loading Failed,資源加載失敗
i18n_0488,资源加载失败，点击重试,Resource Loading Failed| Click Retry,資源加載失敗，點擊重試
i18n_0489,资讯,Info,資訊
i18n_0490,资讯不存在,Information Does Not Exist,資訊不存在
i18n_0491,赛事,Events,賽事
i18n_0492,赠送,Give as a Gift,贈送
i18n_0493,赠送失败,Failed to Send,贈送失敗
i18n_0494,跟,Call,跟
i18n_0495,跳转到Paypal,Jump to PayPal,跳轉到Paypal
i18n_0496,转动失败,Rotation Failed,轉動失敗
i18n_0497,转账凭证,Transfer Voucher,轉帳憑證
i18n_0498,输,Lose,輸
i18n_0499,输入Paypal收款邮箱,PayPal Email,輸入Paypal收款郵箱
i18n_0500,输入不正确,Incorrect Input,輸入不正確
i18n_0501,输入充值数量,Recharge Quantity,輸入充值數量
i18n_0502,输入提现地址,Withdrawal Address,輸入提現地址
i18n_0503,输入提现数量,Withdrawal Quantity,輸入提現數量
i18n_0504,输入收款账户名称,Receiving Account Name,輸入收款帳戶名稱
i18n_0505,输入收款银行卡号,Receiving Bank Card Number,輸入收款銀行卡號
i18n_0506,输入新密码,New Password,輸入新密碼
i18n_0507,输入邮箱,Email Address,輸入郵箱
i18n_0508,输入错误,Input Error,輸入錯誤
i18n_0509,输赢,Win or Lose,輸贏
i18n_0510,过,Check,過
i18n_0511,返回,Return,返回
i18n_0512,这里是内容,This Is the Content,這裡是內容
i18n_0513,这里是提示内容,This Is the Prompt Content,這裡是提示內容
i18n_0514,进入,Enter,進入
i18n_0515,进入匹配,Enter Matching,進入匹配
i18n_0516,进入比赛,Engage in a Contest,進入比賽
i18n_0517,进入游戏失败,Failed to Enter the Game,進入遊戲失敗
i18n_0518,连接失败,Connection Failed,連接失敗
i18n_0519,连接已断开,Connection Disconnected,連接已斷開
i18n_0520,连接成功,Connection Successful,連接成功
i18n_0521,连接未就绪,Connection Not Ready,連接未就緒
i18n_0522,退出游戏,Exit,退出遊戲
i18n_0523,退出牌局,Exit,退出牌局
i18n_0524,退出登录,Log out,登出
i18n_0525,退出请求已发送，请等待本局结束,The exit request has been sent. Please wait for the end of this session,退出請求已發送，請等待本局結束
i18n_0621,选择PNG图片失败:,Failed to select PNG image:,選擇PNG圖片失敗：
i18n_0526,选择充值信息,Select recharge information,選擇充值資訊
i18n_0527,选择公链和币种,Choose Public Chain and Currency,選擇公鏈和幣種
i18n_0528,选择可用的银行,Select Available Banks,選擇可用的銀行
i18n_0529,选择银行账户,Select Bank Account,選擇銀行帳戶
i18n_0530,选择项,Option,選擇項
i18n_0531,邀请好友,Invite Friends,邀請好友
i18n_0532,邀请码,Invitation Code,邀請碼
i18n_0533,邀请码已复制到剪贴板,The invitation code has been copied to the clipboard,邀請碼已複製到剪貼板
i18n_0534,邀请链接,Invitation Link,邀請連結
i18n_0535,邀请链接已复制到剪贴板,The invitation link has been copied to the clipboard,邀請連結已複製到剪貼板
i18n_0536,邮件,Email,郵件
i18n_0537,邮件不存在,Email Does Not Exist,郵件不存在
i18n_0538,邮件已领取,Email Received,郵件已領取
i18n_0539,邮件无附件,Email Without Attachments,郵件無附件
i18n_0540,配置不存在,Configuration Does Not Exist,配寘不存在
i18n_0541,重新发送,Resend,重新發送
i18n_0542,金币:,Balance:,金幣：
i18n_0543,金币不足,Not Enough Balance,金幣不足
i18n_0544,金币太多,Too Many Balance,金幣太多
i18n_0545,錯誤,Error,錯誤
i18n_0546,银行,Bank,銀行
i18n_0547,银行信息,Bank Information,銀行資訊
i18n_0548,银行信息不能为空,Bank Information Cannot Be Empty,銀行資訊不能為空
i18n_0549,银行名：,Bank Name:,銀行名：
i18n_0550,银行转账,Bank Transfer,銀行轉帳
i18n_0551,链,Chain,鏈
i18n_0552,锁定,Lock,鎖定
i18n_0553,错误,Error,錯誤
i18n_0554,长牌,Standard,長牌
i18n_0555,间,Interval,間
i18n_0556,防作弊,Anti-Cheating,防作弊
i18n_0557,附件名,Attachment Name,附件名
i18n_0558,静态图片,Static Image,靜態圖片
i18n_0559,音乐,Music,音樂
i18n_0560,音乐:,Music:,音樂：
i18n_0561,音乐：,Music:,音樂：
i18n_0562,音效,Effect,音效
i18n_0563,音效:,Effects:,音效：
i18n_0564,音效设置,Sound Settings,音效設定
i18n_0565,音效：,Effects:,音效：
i18n_0566,顺子,Straight,順子
i18n_0567,领取,Claim,領取
i18n_0568,领取失败,Failed to Claim,領取失敗
i18n_0569,领取失败【2】,Collection Failed [2],領取失敗【2】
i18n_0570,领取成功,Claimed Successfully,領取成功
i18n_0571,验证失败,Verification Failed,驗證失敗
i18n_0572,验证码,CAPTCHA,驗證碼
i18n_0573,验证码不正确,The Verification Code Is Incorrect,驗證碼不正確
i18n_0593,验证码不正确【2】,The Verification Code Is Incorrect [2],驗證碼不正確【2】
i18n_0574,验证码不能为空,The Verification Code Cannot Be Empty,驗證碼不能為空
i18n_0575,高张,High,高張
i18n_0576,高牌,High,高牌
i18n_0577,高级场,Advanced,高級場
i18n_2001,祝你好运！,Good luck!,祝你好運！
i18n_2002,打得漂亮！,Nice hand!,打得漂亮！
i18n_2003,全押！,All in!,全押！
i18n_2004,哈哈，看穿你了！,Gotcha!,哈哈，看穿你了！
i18n_2005,这局运气不错！,Lucky one!,這局運氣不錯！
i18n_2006,再来一局！,One more round!,再來一局！
i18n_2007,你在虚张声势！,You're bluffing!,你在虛張聲勢！
i18n_2008,认输了，下次见！,"GG, see you next time!",認輸了，下次見！
i18n_2009,慢点，让我想想。,"Wait, let me think.",慢點，讓我想想。
i18n_2010,这手牌太强了！,What a monster hand!,這手牌太強了！
i18n_2011,3个按钮,3 Buttons,3個按鈕
i18n_2012,4个按钮,4 Buttons,4個按鈕
i18n_2013,5个按钮,5 Buttons,5個按鈕
i18n_2014,等待中,Waiting,等待中
i18n_2015,邮箱,Email,郵箱
i18n_2016,请求已发出,Request Sent,請求已發出
i18n_2017,苹果卡,Apple Card,蘋果卡
i18n_2018,选择充值方式,Select Recharge Method,選擇充值方式
i18n_2019,请选择苹果卡配置,Please Select Apple Card Configuration,請選擇蘋果卡配置
i18n_2020,GM充值,GM Recharge,GM充值
i18n_2021,GM提现,GM Withdraw,GM提现
i18n_2022,是否重新登录,Do you want to re-login?,是否重新登入
i18n_2023,关于,About,關於
i18n_2024,关于我们,About Us,關於我們
i18n_2025,局内变化,In-Game Changes,局內變化
i18n_2026,游戏结束,Game End,遊戲結束
i18n_2027,游戏费用,Game Fee,遊戲費用
i18n_2028,账号被锁定,Account Locked,帳號被鎖定
i18n_2029,提现已锁定,Withdraw Locked,提現已鎖定